"System","Hệ thống"
"The application access request is rejected.","Yêu cầu truy cập đơn bị từ chối."
"The consumer has been deleted.","Khách hàng đã bị xóa."
"The consumer has been saved.","Khách hàng đã được lưu."
"Token Status Change","Thay đổi tình trạng Token"
"Token Status Change Email Template","Mẫu email thay đổi tình trạng token"
"Unable to find a consumer.","Không thể tìm thấy khách hàng."
"User ID","ID người dùng"
"User Name","Tên người dùng"
"User Type","Loại người dùng"
"Verifier code: %s","Mã xác nhận: %s"
"You have no applications.","Bạn không có đơn nào."
"deleted","đã xóa"
"enabled","đã kích hoạt"
"revoked","đã thu hồi"
