"Empty Cart","Giỏ hàng trống"
"Empty Shopping Cart Content Before","Nội dung giỏ hàng trước trống"
"Enable Onepage Checkout","Kích hoạt thanh toán nhanh"
"Enable Terms and Conditions","Kích hoạt điều khoản và điều kiện"
"Enabled","Đã kích hoạt"
"Enter a New Address","Nhập vào địa chỉ mới"
"Enter your coupon code if you have one.","Nhập mã khuyến mãi của bạn."
"Enter your destination to get a shipping estimate.","Nhập địa điểm vận chuyển."
"Estimate","Ước tính"
"Estimate Shipping and Tax","Ước tính phí vận chuyển và thuế"
"Excl. Tax","Không bao gồm thuế"
"Fast and easy check out","Thanh toán nhanh và đơn giản"
"Fax","Fax"
"Forgot an Item?","Bạn quên một sản phẩm?"
"Forgot your password?","Quên mật khẩu?"
"Get a Quote","Nhận gợi ý"
"Get list of available payment methods","Danh sách các phương pháp thanh toán hiện có"
"Get list of available shipping methods","Danh sách phương pháp vận chuyển"
"Get list of products in shopping cart","Danh sách các sản phẩm trong giỏ hàng"
"Get terms and conditions","Điều khoản và điều kiện"
"Get total prices for shopping cart","Tổng giá trị thanh toán của giỏ hàng"
"Gift Message","Thông điệp quà tặng"
"Grand Total:","Tổng số tiền:"
"Grouped Product Image","Hình ảnh sản phẩm đã nhóm"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Bao gồm thuế"
"Invalid checkout type.","Loại thanh toán không đúng."
"Invalid data.","Dữ liệu không đúng."
"Invalid email address ""%s""","Địa chỉ email không đúng ""%s"""
"Invalid method: %s","Phương pháp không đúng: %s"
"Invalid shipping method.","Phương pháp vận chuyển không đúng."
"Item not found or already ordered","Không tìm thấy sản phẩm hoặc đã được đặt hàng"
"Item was removed successfully.","Xóa sản phẩm thành công."
"Item was updated successfully.","Cập nhật sản phẩm thành công."
"Items","Sản phẩm"
"Items After","Sản phẩm sau"
"Items Before","Sản phẩm trước"
"Load customer quote error","Gợi ý khách hàng xảy ra lỗi"
"Loading next step...","Đang tải bước tiếp theo..."
"Login","Đăng nhập"
"Login/Registration Before","Đăng nhập/Đăng ký sau"
"Manage Terms and Conditions","Quản lý điều khoản và điều kiện"
"Maximum Display Recently Added Item(s)","Hiển thị (các) sản phẩm tối đa thêm vào gần đây"
"Maximum qty allowed for Shipping to multiple addresses is %s","Số lượng tối đa cho phép vận chuyển nhiều địa chỉ là %s"
"Mini-cart promotion block","Nội dung giỏ hàng giảm giá"
"Minimum order amount is %s","Số lượng đặt hàng nhỏ nhất là %s"
"Move","Di chuyển"
"Move to Wishlist","Di chuyển tới danh sách thích"
"Move to wishlist","Di chuyển tới danh sách thích"
"Multishipping Checkout","Thanh toán nhiều địa chỉ"
"Multishipping Checkout Address (Any) Form","(bất kỳ) mẫu địa chỉ cho thanh toán nhiều địa chỉ"
"Multishipping Checkout Billing Address Creation","Tạo địa chỉ cho thanh toán nhiều địa chỉ"
"Multishipping Checkout Billing Address Edit Form","Sửa mẫu địa chỉ cho thanh toán nhiều địa chỉ"
"Multishipping Checkout Billing Address Selection","Lựa chọn địa chỉ cho thanh toán nhiều địa chỉ"
"Multishipping Checkout Billing Information Step","Thông tin thanh toán nhiều địa chỉ"
"Multishipping Checkout Customer Address Edit Form","Sửa địa chỉ khách hàng cho thanh toán nhiều địa chỉ"
"Multishipping Checkout Overview","Tổng quan thanh toán nhiều địa chỉ"
"Multishipping Checkout Shipping Address Creation","Tạo địa chỉ vận chuyển cho thanh toán nhiều địa chỉ"
"Multishipping Checkout Shipping Address Edit Form","Sửa địa chỉ vận chuyển cho thanh toán nhiều địa chỉ"
"Multishipping Checkout Shipping Address Selection","Lựa chọn địa chỉ vận chuyển cho thanh toán nhiều địa chỉ"
"Multishipping Checkout Shipping Information Step","Thông tin vận chuyển cho thanh toán nhiều địa chỉ"
"Multishipping Checkout Success","Thanh toán nhiều địa chỉ thành công"
"My Cart","Giỏ hàng của tôi"
"My Cart (%s item)","Giỏ hàng của tôi (%s sản phẩm)"
"My Cart (%s items)","Giỏ hàng của tôi (%s sản phẩm)"
"My Cart Link","Liên kết giỏ hàng của tôi"
"New Address","Địa chỉ mới"
"New Condition","Điều kiện mới"
"New Terms and Conditions","Điều khoản và điều kiện mới"
"No Payment Methods","Không có phương pháp thanh toán"
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER","TỔNG GIÁ TRỊ ĐƠN HÀNG SẼ HIỂN THỊ TRƯỚC KHI BẠN GỬI ĐƠN HÀNG"
"One Page Checkout","Thanh toán nhanh"
"One Page Checkout Failure","Thanh toán nhanh thất bại"
"One Page Checkout Overview","Tổng quan thanh toán nhanh"
"One Page Checkout Success","Thanh toán nhanh thành công"
"One item of products do not have identifier or sku","Một sản phẩm trong danh sách không có tên hoặc mã"
"One item of products is not belong any of quote item","Một sản phẩm trong danh sách không thuộc sản phẩm gợi ý"
"Order #","Đơn hàng #"
"Order Review","Xem lại đơn hàng"
"Order Success","Đặt hàng thành công"
"Order place error.","Lỗi đặt hàng."
"Other Items in Your Order","Các sản phẩm khác trong đơn hàng của bạn"
"Overview Items After","Xem lại sản phẩm sau"
"Password","Mật khẩu"
"Payment Failed Email Reciever","Thanh toán lỗi bởi email người nhận"
"Payment Failed Email Sender","Thanh toán lỗi bởi email người gửi"
"Payment Failed Emails","Emails thanh toán lỗi"
"Payment Failed Template","Mẫu thanh toán lỗi"
"Payment Information","Thông tin thanh toán"
"Payment Method","Phương pháp thanh toán"
"Payment Methods After","Phương pháp thanh toán sau"
"Payment Methods After Checkout Button","Phương pháp thanh toán sau nút Thanh toán"
"Payment Methods Before","Phương pháp thanh toán trước"
"Payment Methods Before Checkout Button","Phương pháp thanh toán trước nút Thanh toán"
"Payment method information","Thông tin phương pháp thanh toán"
"Payment method is not defined","Không xác định được phương pháp thanh toán"
"Payment methods in shopping cart","Phương pháp thanh toán trong giỏ hàng"
"Payment profile # %s: ""%s"".","Hồ sơ thanh toán # %s: ""%s""."
"Place Order","Đặt hàng"
"Please agree to all Terms and Conditions before placing the order.","Vui lòng chấp nhận tất cả điều khoản và điều kiện trước khi đặt hàng."
"Please agree to all Terms and Conditions before placing the orders.","Vui lòng chấp nhận tất cả điều khoản và điều kiện trước khi đặt hàng."
"Please agree to all the terms and conditions before placing the order.","Vui lòng chấp nhận tất cả điều khoản và điều kiện trước khi đặt hàng."
"Please check billing address information.","Vui lòng kiểm tra thông tin địa chỉ thanh toán."
"Please check shipping address information.","Vui lòng kiểm tra thông tin địa chỉ vận chuyển."
"Please check shipping addresses information.","Vui lòng kiểm tra thông tin các địa chỉ vận chuyển."
"Please choose to register or to checkout as a guest","Vui lòng lựa chọn đăng ký hoặc khách thanh toán"
"Please log in below:","Vui lòng đăng nhập:"
"Please select region, state or province","Vui lòng lựa chọn vùng, quốc gia hoặc tỉnh thành"
"Please select shipping address for applicable items","Vui lòng lựa chọn địa chỉ vận chuyển cho sản phẩm khả dụng"
"Please select shipping methods for all addresses","Vui lòng lựa chọn phương pháp vận chuyển cho tất cả địa chỉ"
"Please select valid payment method.","Vui lòng lựa chọn phương pháp thanh toán đúng."
"Please specify payment method.","Vui lòng xác định phương pháp thanh toán."
"Please specify shipping method.","Vui lòng lựa chọn phương pháp vận chuyển."
"Please specify shipping methods for all addresses.","Vui lòng lựa chọn phương pháp vận chuyển cho tất cả địa chỉ."
"Price","Giá"
"Proceed to Checkout","Tiến hành thanh toán"
"Product","Sản phẩm"
"Product Name","Tên sản phẩm"
"Products","Sản phẩm"
"Qty","Số lượng"
"Qty:","Số lượng:"
"Quantity","Số lượng"
"Quantity was recalculated from %d to %d","Số lượng được tính lại từ %d đến %d"
"Quote Lifetime (days)","Quãng thời gian gợi ý (ngày)"
"Quote item does not exist.","Sản phẩm gợi ý không tồn tại."
"Quote item is not found.","Không tìm thấy sản phẩm gợi ý."
"Recently added item(s)","(Các) sản phẩm được thêm vào gần đây"
"Register","Đăng ký"
"Register and save time!","Đăng ký và tiết kiệm thời gian!"
"Register to Create an Account","Tạo tài khoản mới"
"Register with us for future convenience:","Đăng ký với chúng tôi để nhận được những thuận lợi sau này:"
"Remove Item","Xóa sản phẩm"
"Remove This Item","Xóa sản phẩm này"
"Remove coupon code from shopping cart","Xóa mã khuyến mãi khỏi giỏ hàng"
"Remove item","Xóa sản phẩm"
"Remove product from shopping cart","Xóa sản phẩm khỏi giỏ hàng"
"Remove product(s) from shopping cart","Xóa (các) sản phẩm khỏi giỏ hàng"
"Require Customer To Be Logged In To Checkout","Yêu cầu khách hàng đăng nhập để thanh toán"
"Retrieve information about shopping cart","Lấy thông tin về giỏ hàng"
"Review Order","Xem lại đơn hàng"
"Review Order - %s","Xem lại đơn hàng - %s"
"SKU","SKU"
"Sales","Doanh số"
"Save Condition","Lưu điều kiện"
"Save in address book","Lưa vào danh bạ địa chỉ"
"See price before order confirmation.","Xem giá trước khi xác nhận đơn hàng."
"Select Address","Lựa chọn địa chỉ"
"Select Addresses","Lựa chọn các địa chỉ"
"Select Shipping Method","Lựa chọn phương pháp vận chuyển"
"Select State/Province...","Lựa chọn Tỉnh/Thành phố..."
"Select a billing address from your address book or enter a new address.","Lựa chọn địa chỉ thanh toán từ danh bạ hoặc nhập vào địa chỉ mới."
"Select a shipping address from your address book or enter a new address.","Lựa chọn địa chỉ vận chuyển từ danh bạ hoặc nhập vào địa chỉ mới."
"Send Payment Failed Email Copy Method","Phương pháp gửi email báo lỗi thanh toán"
"Send Payment Failed Email Copy To","Gửi email báo lỗi thanh toán tới"
"Send To","Gửi tới"
"Separate by "","".","Ngăn cách bởi "",""."
"Set customer for shopping cart","Thiết lập khách hàng cho giỏ hàng"
"Set customer's addresses in shopping cart","Thiết lập địa chỉ khách hàng cho giỏ hàng"
"Set payment method","Thiết lập phương pháp thanh toán"
"Set shipping method","Thiết lập phương pháp vận chuyển"
"Ship to Multiple Addresses","Vận chuyển tới nhiều địa chỉ"
"Ship to different address","Vận chuyển tới các địa chỉ khác nhau"
"Ship to this address","Vận chuyển tới địa chỉ này"
"Shipping Address","Địa chỉ vận chuyển"
"Shipping Information","Thông tin vận chuyển"
"Shipping Method","Phương pháp vận chuyển"
"Shipping Methods","Các phương pháp vận chuyển"
"Shipping To","Vận chuyển tới"
"Shipping information","Thông tin vận chuyển"
"Shipping method has not been selected yet","Phương pháp vận chuyển chưa được lựa chọn"
"Shipping methods in shopping cart","Các phương pháp vận chuyển trong giỏ hàng"
"Shipping selection is not applicable.","Lựa chọn vận chuyển không khả dụng."
"Shopping Cart","Giỏ hàng"
"Shopping Cart Form Before","Mẫu giỏ hàng trước"
"Shopping Cart Items After","Sản phẩm trong giỏ hàng sau"
"Shopping Cart Items Before","Sản phẩm trong giỏ hàng trước"
"Shopping Cart Sidebar","Thanh hiển thị giỏ hàng"
"Shopping Cart Sidebar Extra Actions","Hoạt động khác trên thanh hiển thị giỏ hàng"
"Shopping Cart is Empty","Giỏ hàng trống"
"Shopping cart ability to set coupon code","Giỏ hàng có thể thiết lập mã khuyến mãi"
"Show Content as","Hiển thị nội dung như"
"Some of the requested products are not available in the desired quantity.","Một số sản phẩm yêu cầu không đủ số lượng thích."
"Some of the requested products are unavailable.","Một số sản phẩm yêu cầu không có sẵn."
"Some products quantities were recalculated because of quantity increment mismatch","Số lượng một vài sản phẩm đã được tính lại vì tăng số lượng không phù hợp"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Xin lỗi, khách thanh toán không khả dụng. Xin hãy thử lại hoặc liên hệ chủ cửa hàng"
"Sorry, no quotes are available for this order at this time.","Xin lỗi, hiện không có sản phẩm nào cho đơn hàng này."
"State/Province","Tỉnh/Thành phố"
"Status","Tình trạng"
"Store View","Xem cửa hàng"
"Street Address","Tên đường"
"Street Address %s","Tên đường %s"
"Submitting order information...","Gửi thông tin đặt hàng..."
"Subtotal","Tổng số tiền"
"Subtotal must exceed minimum order amount","Tổng số tiền phải lớn hơn lượng đơn hàng tối thiểu"
"Telephone","Điện thoại"
"Terms and Conditions","Điều khoản và điều kiện"
"Terms and Conditions Information","Thông tin điều khoản và điều kiện"
"Terms and conditions","Điều khoản và điều kiện"
"Text","Văn bản"
"Thank you for your purchase!","Cảm ơn bạn đã đặt hàng!"
"The condition has been deleted","Điều kiện này đã bị xóa"
"The condition has been saved.","Điều kiện này đã được lưu."
"The onepage checkout is disabled.","Trang thanh toán nhanh bị vô hiệu hóa."
"The product could not be found.","Không thể tìm thấy sản phẩm."
"The product does not exist.","Sản phẩm không tồn tại."
"There are <a href=""%s"">%s items</a> in your cart.","Có <a href=""%s"">%s sản phẩm</a> trong giỏ hàng của bạn."
"There is <a href=""%s"">1 item</a> in your cart.","Có <a href=""%s"">1 sản phẩm</a> trong giỏ hàng của bạn."
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Đã có khách hàng đăng kí bằng địa chỉ email này. Vui lòng đăng nhập bằng email này hoặc đăng kí tài khoản mới bằng địa chỉ email khác."
"There was an error processing your order. Please contact us or try again later.","Đã có lỗi xảy ra khi xử lý đơn hàng. Vui lòng liên hệ với chúng tôi hoặc thử lại sau."
"This condition no longer exists.","Điều kiện này không tồn tại"
"Total","Tổng số"
"Total for this address","Tổng số tiền cho địa chỉ này"
"Unable to set Payment Method.","Không thể thiết lập phương pháp thanh toán."
"Unit Price","Đơn vị giá"
"Update","Cập nhật"
"Update Cart","cập nhật giỏ hàng"
"Update Qty &amp; Addresses","Cập nhật số lượng &amp; Các địa chỉ"
"Update Shopping Cart","Cập nhật giỏ hàng"
"Update Total","Cập nhật tổng số"
"Update product quantities in shopping cart","Cập nhật số lượng sản phẩm trong giỏ hàng"
"Update product(s) quantities in shopping cart","Cập nhật số lượng (các) sản phẩm trong giỏ hàng"
"Use Billing Address","Sử dụng địa chỉ thanh toán"
"VAT Number","Số VAT"
"View Shopping Cart","Xem giỏ h"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Chúng tôi đang xử lý đơn hàng của bạn và bạn sẽ sớm nhân được email thông báo chi tiết đơn hàng. Một khi hàng được chuyển cho bạn, bạn sẽ nhận được email khác có chứa liên kết để bạn có thể theo dõi quá trình vận chuyển."
"What&#39;s this?","Đây&#39;s là gì?"
"What's this?","Đây là gì?"
"You have no items in your shopping cart.","Bạn không có sản phẩm nào trong giỏ hàng."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Bạn sẽ nhận được email xác nhận đơn hàng với chi tiết đơn hàng và một liên kết để theo dõi quá trình đơn hàng."
"Your Checkout Progress","Tiến trình thanh toán của bạn"
"Your billing agreement # is: %s.","Hóa đơn của bạn # is: %s."
"Your order # is: %s.","Đơn hàng của bạn # is: %s."
"Your order cannot be completed at this time as there is no payment methods available for it.","Đơn hàng của bạn không thể hoàn thiện lúc này vì không có phương pháp thanh toán."
"Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Đơn hàng của bạn không thể hoàn thiện lúc này vì không có phương pháp vận chuyển. Vui lòng tạo thay đổi cần thiết trong mục địa chỉ vận chuyển."
"Your order has been received.","Đơn hàng của bạn đã được ghi lại."
"Your order number is ","Số đươn hàng của bạn là "
"Your recurring payment profiles:","Hồ sơ thanh toán định kỳ của bạn:"
"Zip","Mã bưu chính"
"Zip/Postal Code","Mã bưu điện/bưu chính"
"ok","ok"
"or","hoặc"
