"%s","%s"
"%s already exist.","%s đã tồn tại."
"%s already exists.","%s đã tồn tại."
"-- Please Select --","-- Vui lòng lựa chọn --"
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","Văn bản thay thế cho liên kết tiếp theo trong trình đơn theo trang. Nếu trống, hình mũi tên mặc định sẽ được sử dụng."
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","Văn bản thay thế cho liên kết trước đó trong trình đơn theo trang. Nếu trống, hình mũi tên mặc định sẽ được sử dụng."
"An error occurred while saving. Please review the error log.","Có lỗi xảy ra khi lưu. Vui lòng xem lại lỗi log."
"Anchor Text for Next","Văn bản thả neo cho Tiếp theo"
"Anchor Text for Previous","Văn bản thả neo cho Trước đó"
"Anchor symbol (#) is not supported in request path","Biểu tượng thả neo (#) không được hỗ trợ trong đường dẫn yêu cầu"
"Anchor symbol (#) is not supported in url rewrite suffix","Biểu tượng thả neo (#) không được hỗ trợ trong đuôi URL"
"Are you sure?","Bạn có chắc không?"
"Auto-redirect to Base URL","Tự động chuyển hướng đến URL cơ sở"
"Back","Quay lại"
"Backup Options","Tùy chọn sao chép"
"Base JavaScript URL","URL JavaScript cơ sở"
"Base Link URL","URL liên kết cơ sở"
"Base Media URL","URL đa phương tiện cơ sở"
"Base Secure URL","URL an toàn cơ sở"
"Base Skin URL","URL vùng cơ sở"
"Base URL","URL cơ sở"
"Base Unsecure URL","URL cơ sở không an toàn"
"Before modifying the store view code please make sure that it is not used in index.php.","Trước khi sửa lỗi mã cửa hàng , hãy chắc chắn rằng nó không được sử dụng trong index.php."
"Before modifying the website code please make sure that it is not used in index.php.","Trước khi sửa lỗi mã website hãy chắc chắn rằng nó không được sử dụng trong index.php."
"Block with name ""%s"" already exists","Tên khối ""%s"" đã tồn tại"
"Browser Capabilities Detection","Phát hiện khả năng trình duyệt"
"CSRF protection","Bảo vệ CSRF"
"CSS Settings","Cài đặt CSS"
"Cache Storage Management","quản lý lưu trữ bộ nhớ đệm"
"Cache storage may contain additional data. Are you sure that you want flush it?","Bộ nhớ đệm có thể chứa dữ liệu bổ sung. Bạn có chắc chắn muốn quét nó?"
"Can not create invoice. Order was not found.","Không thể lập hóa đơn. Không tìm thấy đơn đặt hàng."
"Can't retrieve request object","Không thể lấy đối tượng theo yêu cầu"
"Can\'t retrieve entity config: %s","Không thể xuất cấu hình thực thể: %s"
"Cancel","Hủy"
"Cannot complete this operation from non-admin area.","Không thể hoàn thành thao tác này từ một vùng không phải là quản trị viên."
"Card type does not match credit card number.","Loại thẻ không khớp với số thẻ tín dụng."
"Code","Mã"
"Controller file was loaded but class does not exist","Tệp điều khiển đã tải lên nhưng loại tệp không tồn tại"
"Cookie Domain","Tên miền Cookie"
"Cookie Lifetime","Thời gian sống của Cookie"
"Cookie Path","Đường dẫn Cookie"
"Cookie Restriction Mode","Chế độ hạn chế Cookie"
"Copyright","Bản quyền"
"Core","Chính"
"Countries Options","Tùy chọn quốc gia"
"Country","Quốc gia"
"Create Store","Tạo cửa hàng"
"Create Store View","Tạo Cửa hàng"
"Create Website","Tạo website"
"Credit card number does not match credit card type.","Số thẻ tín dụng không khớp với loại thẻ tín dụng."
"Current Package Name","Tên gói hiện tại"
"Custom Admin Path","Tùy chỉnh đường dẫn Admin"
"Custom Admin URL","Tùy chỉnh URL admin"
"Custom Design","Thiết kế tùy chỉnh"
"Custom Email 1","Tùy chỉnh email 1"
"Custom Email 2","Tùy chỉnh email 2"
"Custom Variables","Tùy chỉnh biến số"
"Custom1 Contact Email","Tùy chỉnh 1 email liên hệ"
"Custom1 Contact Name","Tùy chỉnh 1 email liên hệ"
"Custom2 Contact Email","Tùy chỉnh 2 email liên hệ"
"Custom2 Contact Name","Tùy chỉnh 2 Tên liên hệ"
"Customer Support","Hỗ trợ khách hàng"
"Dashboard","Bảng điều khiển"
"Date From","Từ ngày"
"Date To","Đến ngày"
"Date/time format ""%s"" is not supported.","Định dang ngày/giờ ""%s"" không được hỗ trọ."
"Debug","Sửa lỗi"
"Default","Mặc định"
"Default Country","Quốc gia mặc định"
"Default Description","Mô tả mặc định"
"Default Keywords","Từ khóa mặc định"
"Default No-route URL","URL mặc định"
"Default Pages","Trang mặc định"
"Default Robots","Robots mặc định"
"Default Store","Cửa hàng mặc định"
"Default Store View","Cửa hàng mặc định"
"Default Title","Tiêu đề mặc định"
"Default Web URL","URL web mặc định"
"Delete","Xóa"
"Delete Store","Xóa cửa hàng"
"Delete Store View","Xóa Cửa hàng"
"Delete Website","Xóa Website"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Xóa một %1$s sẽ không xóa các thông tin liên quan đến %1$s (ví dụ danh mục, sản phẩm, v.v...), nhưng %1$s sẽ không thể được phục hồi. Bạn nên tạo một bản sao trước khi xóa %1$s."""
"Design,""Thiết kế""" %1$s."
"Design","Thiết kế"
"Design Change","Thay đổi thiết kế"
"Developer","Lập trình viên"
"Developer Client Restrictions","Hạn chế khách hàng lập trình viên"
"Disable Email Communications","Vô hiệu hóa truyền thông email"
"Disable Modules Output","Vô hiệu hóa mô-đun đầu ra"
"Display Demo Store Notice","Hiển thị thông báo cửa hàng demo"
"Duplicate Of Template Name","Sao chép tên mẫu"
"Edit Design Change","Sửa thay đổi thiết kế"
"Edit Store","Sửa cửa hàng"
"Edit Store View","Sửa cửa hàng"
"Edit Website","Sửa website"
"Email - Footer","Email - Chân trang"
"Email - Header","Email - Đầu trang"
"Email Footer Template","Mẫu chân trang email"
"Email Header Template","Mẫu đầu trang email"
"Empty identifier field name","Tên trường trống"
"Empty main table name","Tên bảng chính trống"
"Enable Charts","Kích hoạt biểu đồ"
"Enabled","Đã kích hoạt"
"Enabled for Admin","Đã kích hoạt cho Admin"
"Enabled for Frontend","Đã kích hoạt cho trang giao diện người dùng"
"Environment Update Time","Thời gian cập nhật môi trường"
"Error in file: ""%s"" - %s","Lỗi ở tệp: ""%s"" - %s"
"European Union Countries","Các quốc gia Liên minh châu Âu"
"Exceptions Log File Name","Tên tệp log miễn trừ "
"Favicon Icon","Biểu tượng đại diện"
"File %s does not exist","Tệp %s không tồn tại"
"File %s is not readable","Tệp %s không đọc được"
"File not found","Không tìm thấy tệp"
"File system","Hệ thống tệp"
"File with an extension ""%value%"" is protected and cannot be uploaded","Tệp có chứa phần mở rộng ""%value%"" được bảo vệ và không thể tải lên"
"First Day of Week","Ngày đầu tiên của tuần"
"Flush Cache Storage","Xóa bộ nhớ đệm"
"Flush Magento Cache","Xóa bộ nhớ đệm Magento"
"Footer","Chân trang"
"Forgot Password Email Sender","Gửi email quên mật khẩu"
"Forgot Password Email Template","Mẫu email quên mật khẩu"
"General","Chung"
"General Contact","Liên hệ"
"General Contact Email","Email liên hệ"
"General Contact Name","Tên liên hệ"
"General Settings","Cài đặt chung"
"Get info about current Magento installation","Nhận thông tin về cài đặt Magento hiện tại"
"Global","Toàn cầu"
"HTML Head","Đầu HTML"
"HTML tags are not allowed","HTML tags không được phép"
"Header","Đầu trang"
"Host","Host"
"How many links to display at once.","Số liên kết được hiển thị trong một lần."
"ID Path for Specified Store","Đường dẫn ID cho cửa hàng xác định"
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.","Nếu vị trí khung hiện tại không thể bao phủ các trang cuối cùng, sẽ làm cho liên kết đến vị trí cộng/trừ giá trị này."
"Incorrect credit card expiration date.","Ngày hết hạn thẻ tín dụng không chính xác."
"Input type ""%value%"" not found in the input types list.","Kiểu nhập vào ""%value%"" không tìm thấy trong danh sách kiểu nhập vào."
"Invalid URL '%value%'.","URL '%value%' không đúng."
"Invalid base url type","Kiểu URL cơ sở không đúng"
"Invalid block type: %s","Kiểu khối không đúng: %s"
"Invalid block: %s","Khối không đúng: %s"
"Invalid connection","Kết nối không đúng"
"Invalid date","Ngày không đúng"
"Invalid layout update handle","Cập nhật xử lý bố cục không đúng"
"Invalid messages storage ""%s"" for layout messages initialization","Lưu trữ tin nhắn ""%s"" không đúng cho khởi tạo bố cục tin nhắn"
"Invalid query","Truy vấn không đúng"
"Invalid transactional email code: %s","Mã email giao dịch không đúng: %s"
"Invalid website\'s configuration path: %s","Đường dẫn cấu hình website không đúng: %s"
"JavaScript Settings","Cài đặt JavaScript"
"Layout","Giao diện"
"Leave empty for access from any location.","Bỏ trống cho truy cập từ bất kỳ địa điểm nào."
"List of stores","Danh sách các cửa hàng"
"Locale","Ngôn ngữ và khu vực"
"Locale Options","Tùy chọn ngôn ngữ và khu vực"
"Log Settings","Thiết lập Log"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","Logging từ Mage::log(). Tệp nằm trong {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","Logging từ Mage::logException(). Tệp nằm trong {{base_dir}}/var/log"
"Login is Case Sensitive","Đăng nhập không phân biệt chữ hoa hay thường"
"Logo Image","Hình ảnh logo"
"Logo Image Alt","Alt hình ảnh logo"
"Logo Image Src","Src hình ảnh logo"
"Magento info","Thông tin Magento"
"Magento info API","API thông tin Magento"
"Mail Sending Settings","Thiết lập gửi mail"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Hãy chắc rằng URL cơ sở kết thúc với '/' (gạch chéo), ví dụ. http://yourdomain/magento/"
"Manage Stores","Quản lý cửa hàng"
"Match expressions in the same order as displayed in the configuration.","Các biểu thức có cùng thứ tự như được hiển thị trong cấu hình."
"Media Storage","Lưu trữ đa phương tiện"
"Merge CSS Files","Gộp các tệp CSS"
"Merge JavaScript Files","Gộp các tệp JavaScript"
"Message recipients data must be set.","Dữ liệu người nhận thông điệp phải được thiết lập."
"Miscellaneous HTML","Hỗn hợp HTML"
"Miscellaneous Scripts","Hỗn hợp Scripts"
"Model collection resource name is not defined.","Tên nguồn mẫu không được xác định."
"Module ""%1$s"" cannot depend on ""%2$s"".","Mô-đun ""%1$s"" không thể phụ thuộc vào ""%2$s""."
"Module ""%1$s"" requires module ""%2$s"".","Mô-đun ""%1$s"" đòi hỏi phải có mô-đun ""%2$s""."
"Name","Tên"
"New Design Change","Thay đổi thiết kế mới"
"New Store","Cửa hàng mới"
"New Store View","Cửa hàng mới"
"New Website","Website mới"
"No","Không"
"Offloader header","Giảm tải đầu trang"
"PHP SOAP extension is required.","Mở rộng SOAP PHP là bắt buộc."
"Package","Gói"
"Pagination","Đánh số trang"
"Pagination Frame","Khung đánh số trang"
"Pagination Frame Skip","Bỏ qua khung đánh số trang"
"Parent directory does not exist: %s","Thư mục mẹ không tồn tại: %s"
"Path ""%value%"" is not available and cannot be used.","Đường dẫn ""%value%"" không tồn tại và không thể dùng."
"Path ""%value%"" is protected and cannot be used.","Đường dẫn ""%value%"" được bảo vệ và không thể dùng."
"Path ""%value%"" may not include parent directory traversal (""../"", ""..\\).""","Đường dẫn ""%value%"" có thể không bao gồm tấn công đến thư mục mẹ (""../"", ""..\\)."""
"Please define flag code.","Hãy xác định mã flag."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Vui lòng nhập vào 6 ký tự trở lên. Các khoản trống đầu hoặc cuối sẽ bị bỏ qua."
"Please enter 7 or more characters. Password should contain both numeric and alphabetic characters.","Vui lòng nhập vào 7 ký tự trở lên. Mật khẩu phải chứa cả ký tự chữ và số."
"Please enter a number 0 or greater in this field.","Vui lòng nhập vào số 0 hoặc lớn hơn."
"Please enter a number 1 or greater in this field.","Vui lòng nhập vào số 1 hoặc lớn hơn."
"Please enter a number greater than 0 in this field.","Vui lòng nhập một số lớn hơn 0."
"Please enter a number lower than 100.","Vui lòng nhập một số nhỏ hơn100."
"Please enter a valid $ amount. For example $100.00.","Vui lòng nhập một số $ đúng. Ví dụ $100.00."
"Please enter a valid URL Key. For example ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"".","Vui lòng nhập URL Key đúng. Ví dụ ""example-page"", ""example-page.html"" hoặc ""anotherlevel/example-page""."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Vui lòng nhập URL đúng. Ví dụ http://www.example.com hoặc www.example.com"
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://)","Vui lòng nhập URL đúng. Giao thức là bắt buộc (http://, https:// hoặc ftp://)"
"Please enter a valid XML-identifier. For example something_1, block5, id-4.","Vui lòng nhập một định danh XML đúng. Ví dụ something_1, block5, id-4."
"Please enter a valid credit card number.","Vui lòng nhập một số thẻ tín dụng đúng."
"Please enter a valid credit card verification number.","Vui lòng nhập số xác minh thẻ tín dụng đúng."
"Please enter a valid date between %s and %s","Vui lòng nhập một ngày đúng giữa %s và %s"
"Please enter a valid date equal to or greater than %s","Vui lòng nhập một ngày đúng bằng hoặc lớn hơn %s"
"Please enter a valid date less than or equal to %s","Vui lòng nhập một ngày đúng nhỏ hơn hoặc bằng %s"
"Please enter a valid date.","Vui lòng nhập một ngày đúng."
"Please enter a valid day (1-%d).","Vui lòng nhập một ngày đúng (1-%d)."
"Please enter a valid email address. For example johndoe@domain.com.","Vui lòng nhập một địa chỉ mail đúng. Ví dụ johndoe@domain.com."
"Please enter a valid fax number. For example (123) 456-7890 or 123-456-7890.","Vui lòng nhập số fax đúng. Ví dụ (123) 456-7890 or 123-456-7890."
"Please enter a valid full date","Vui lòng nhập ngày tháng đầy đủ đúng"
"Please enter a valid month (1-12).","Hãy nhập một tháng đúng (1-12)."
"Please enter a valid number in this field.","Hãy nhập một số đúng."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Vui lòng nhập một số điện thoại đúng. Ví dụ (123) 456-7890 or 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Vui lòng nhập một số an sinh xã hội đúng. Ví dụ 123-45-6789."
"Please enter a valid year (1900-%d).","Vui lòng nhập một năm đúng (1900-%d)."
"Please enter a valid zip code.","Vui lòng nhập một mã bưu chính đúng."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Vui lòng nhập một mã bưu chính đúng. Ví dụ 90602 or 90602-1234."
"Please enter issue number or start date for switch/solo card type.","Vui lòng nhập số lượng phát hành hoặc ngày bát đầu cho thẻ Switch/Solo."
"Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%.","Vui lòng nhập độ dài-CSS đúng. Ví dụ 100px hoặc 77pt hoặc 20em hoặc .5ex or 50%."
"Please make sure your passwords match.","Hãy đảm bảo rằng mật khẩu của bạn phù hợp."
"Please select State/Province.","Vui lòng lựa chọn Tỉnh/Thành."
"Please select a file","Vui lòng chọn một tệp"
"Please select an option.","Vui lòng chọn một tùy chọn."
"Please select one of the above options.","Vui lòng chọn một trong các tùy chọn ở trên."
"Please select one of the options.","Vui lòng chọn một trong các tùy chọn."
"Please set available and/or protected paths list(s) before validation.","Hãy thiết lập danh sách đường dẫn có sẵn và hoặc được bảo vệ trước khi xác nhận."
"Please specify either a category or a product, or both.","Hãy xác định một loại mặt hàng hoặc một sản phẩm, hoặc cả hai."
"Please use letters only (a-z or A-Z) in this field.","Vui lòng chỉ sử dụng các ký tự chữ (a-z or A-Z) trong trường này."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Chỉ sử dụng số trong mục này. Tránh sử dụng các khoảng trống hoặc các ký tự khác như dấu chấm hoặc dấu phẩy."
"Please use only letters (a-z or A-Z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Chỉ sử dụng các ký tự chữ (a-z hoặc A-Z) hoặc số (0-9) trong mục này. Không được phép dùng dấu cách hoặc ký tự khác."
"Please use only letters (a-z or A-Z) or numbers (0-9) or spaces and # only in this field.","Chỉ sử dụng ký tự chữ (a-z hoặc A-Z) hoặc số (0-9) hoặc khoảng trống và # only trong mục này."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Chỉ sử dụng các ký tự chữ (a-z hoặc A-Z), số (0-9) hoặc dấu gạch dưới (_) trong mục này, ký tự đầu tiên phải là chữ."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Chỉ sử dụng các ký tự chữ (a-z), số (0-9) hoặc dấu gạch dưới (_) trong mục này, ký tự đầu tiên phải là chữ."
"Please use only visible characters and spaces.","Vui lòng chỉ sử dụng các ký tự nhìn thấy và khoảng trống."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Vui lòng sử dụng định dạng ngày: dd/mm/yyyy. Ví dụ 17/03/2006 cho ngày 17 tháng 3 năm 2006."
"Please wait, loading...","Đang tải, xin vui lòng đợi..."
"Polls","Bình chọn"
"Port (25)","Cổng (25)"
"Profiler","Hồ sơ"
"Recovery Link Expiration Period (days)","Thời gian hết hạn khôi phục liên kết (ngày)"
"Request Path for Specified Store","Đường dẫn yêu cầu cho cửa hàng cụ thể"
"Request path length exceeds allowed %s symbols.","Độ dài đường dẫn yêu cầu vượt quá %s ký tự cho phép."
"Requested file may not include parent directory traversal (""../"", ""..\\ notation)""","Tệp yêu cầu có thể không chứa nguy cơ tấn công thư mục mẹ (""../"", ""..\\ notation)"""
"Requested invalid store ""%s""","Cửa hàng được yêu cầu không đúng ""%s"""
"Resource is not set.","Nguồn không được thiết lập."
"Retrieve info about current Magento installation","Lấy thông tin về cài đặt Magento hiện tại"
"Retrieve store data","lấy dữ liệu cửa hàng"
"Retrieve store list","Lấy danh sách cửa hàng"
"Return-Path Email","Email trở về đường dẫn"
"Root Category","Loại mặt hàng gốc"
"Sales Representative","Đại diện bán hàng"
"Sales Representative Contact Email","Email liên hệ đại diện bán hàng"
"Sales Representative Contact Name","Tên liên hệ đại diện bán hàng"
"Save","Lưu"
"Save Store","Lưu cửa hàng"
"Save Store View","Lưu cửa hàng"
"Save Website","Lưu website"
"Search Engines Optimization","Tối ưu hóa công cụ tìm kiếm"
"Secure","An toàn"
"Security","Bảo mật"
"Select Date","Chọn ngày"
"Select Media Database","Chọn dữ liệu đa phương tiện"
"Sender Email","Email người gửi"
"Sender Name","Tên người gửi"
"Services","Dịch vụ"
"Session Cookie Management","Quản lý Cookie"
"Session Lifetime (seconds)","Thời gian sống Cookie (giây)"
"Session Validation Settings","Cài đặt phiên xác thực"
"Set Return-Path","Thiết lập đường dẫn trở về"
"Set as Default","Thiết lập mặc định"
"Skin (Images / CSS)","Skin (Hình ảnh / CSS)"
"Small Logo Image Src","Src hình ảnh logo nhỏ"
"Sort Order","Thứ tự sắp xếp"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Ngày/giờ đã xác định ""%1$s"" không phù hợp định dạng ""%2$s""."
"Start date cannot be greater than end date.","Ngày bắt đầu không được lớn hơn ngày kết thúc."
"Startup Page","Trang khởi động"
"Status","Trạng thái"
"Storage Configuration for Media","Cấu hình lưu trữ cho đa phương tiện"
"Store","Cửa hàng"
"Store API","API cửa hàng"
"Store Contact Address","Địa chỉ liên hệ cửa hàng"
"Store Contact Information","Thông tin liên hệ cửa hàng"
"Store Contact Telephone","Số điện thoại liên hệ cửa hàng"
"Store Email Addresses","Địa chỉ email cửa hàng"
"Store Hours of Operation","Giờ mở cửa"
"Store Information","Thông tin cửa hàng"
"Store Name","Tên cửa hàng"
"Store View","Giao diện cửa hàng"
"Store View Information","Thông tin giao diện cửa hàng"
"Store View Name","Tên cửa hàng"
"Store view doesn't exist","Giao diện cửa hàng không tồn tại"
"Store with the same code","Cửa hàng có cùng mã"
"System","Hệ thống"
"System Log File Name","Tên hệ thống log"
"Template Path Hints","Gợi ý đường dẫn mẫu"
"Template Settings","Thiết lập mẫu"
"Template Variables","Biến của mẫu"
"Templates","Mẫu"
"Text length does not satisfy specified text range.","Độ dài văn bản không đáp ứng phạm vi văn bản quy định."
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format."," %s bạn nhập vào không đúng. Hãy đảm bảo rằng nó theo đúng định dạng ""http://domain.com/""."
"The From Date value should be less than or equal to the To Date value.","Giá trị ngày bắt đầu phải nhỏ hơn hoặc bằng giá trị ngày kết thúc ."
"The store code may contain only letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Mã cửa hàng chỉ có thể chứa ký tự chữ (a-z), số (0-9) hoặc dấu gạch dưới (_), ký tự đầu tiên phải là chữ"
"The store does not exist","Cửa hàng không tồn tại"
"The store has been deleted.","Cửa hàng đã bị xóa."
"The store has been saved.","Cửa hàng đã được lưu lại."
"The store view has been deleted.","Giao diện cửa hàng đã bị xóa."
"The store view has been saved","Giao diện cửa hàng đã được lưu lại"
"The template Name must not be empty.","Tên mẫu không được để trống."
"The value is not within the specified range.","Giá trị không nằm trong phạm vi chỉ định."
"The website does not exist.","Trang web không tồn tại."
"The website has been deleted.","Trang web đã bị xóa."
"The website has been saved.","Trang web đã được lưu lại."
"Themes","Chủ đề"
"This category and all its child elements","Loại mặt hàng này và tất cả phần tử của nó"
"This category and its child categories only","Chỉ loại mặt hàng này và tất cả loại mặt hàng con của nó"
"This category and its products only","Chỉ loại mặt hàng này và sản phẩm của nó"
"This category only","Chỉ loại mặt hàng này"
"This date is a required value.","Ngày này là một giá trị bắt buộc."
"This is a required field.","Đây là tường bắt buộc."
"This store cannot be deleted.","Không thể xóa cửa hàng này."
"This store view cannot be deleted.","Không thể xóa giao diện cử hàng này."
"This website cannot be deleted.","Không thể xóa trang web này."
"This will be displayed just before body closing tag.","Điều này sẽ được hiển thị ngay trước."
"This will be included before head closing tag in page HTML.","Điều này sẽ bao gồm tag tiêu đề đóng trước đó trong trang HTML."
"Timezone","Múi giờ"
"Title Prefix","Tiền tố tiêu đề"
"Title Suffix","Hậu tố tiêu đề"
"Transactional Emails","Email giao dịch"
"Translate Inline","Dịch nội tuyến"
"Translate, blocks and other output caches should be disabled for both frontend and admin inline translations.","Dịch, khối và các bộ nhớ đệm khác nên được vô hiệu hóa cho cả dịch ở trang giao diện người dùng và quản trị nội tuyến ."
"Translations","Translations"
"Two and more slashes together are not permitted in request path","Đường dẫn yêu cầu không được phép có hơn hai dấu gạch chéo"
"Two and more slashes together are not permitted in url rewrite suffix","Hậu tố URL không được phép có hơn hai dấu gạch chéo"
"Unable to create directory: %s","Không thể tạo thư mục: %s"
"Unable to delete store view. Please, try again later.","Không thể xóa giao diện cửa hàng. Vui lòng thử lại sau."
"Unable to delete store. Please, try again later.","Không thể xóa cửa hàng. Vui lòng thử lại sau."
"Unable to delete website. Please, try again later.","Không thể xóa website. Vui lòng thử lại sau."
"Unable to proceed. Please, try again","Không thể tiến hành. Vui lòng thử lại"
"Unable to proceed. Please, try again.","Không thể tiến hành. Vui lòng thử lại."
"Unable to save file ""%s"" at ""%s""","Không thể lưu tệp ""%s"" tại ""%s"""
"Unable to save file: %s","Không thể lưu tệp: %s"
"Unknown old style column type definition: {$definition}.","Không rõ kiểu cột cũ: {$definition}."
"Unknown scope ""%s"".","Không rõ phạm vi ""%s""."
"Unsecure","Không an toàn"
"Url Options","Tùy chọn URL"
"Use Custom Admin Path","Sử dụng đường dẫn Admin tùy chỉnh"
"Use Custom Admin URL","Sử dụng URL Admin tùy chỉnh"
"Use HTTP Only","Chỉ dùng HTTP"
"Use SID on Frontend","Sử dụng SID trên trang giao diện người dùng"
"Use Secure URLs in Admin","Sử dụng URL an toàn trong quản trị"
"Use Secure URLs in Frontend","Sử dụng URL an toàn ở trang giao diện người dùng"
"Use Web Server Rewrites","Sử dụng ghi đè máy chủ web"
"VAT Number","Mã số VAT"
"Validate HTTP_USER_AGENT","Xác nhận HTTP_USER_AGENT"
"Validate HTTP_VIA","Xác nhận HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Xác nhận HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Xác nhận REMOTE_ADDR"
"Validation has failed.","Xác nhận thất bại."
"Values less than 60 are ignored. Note that changes will apply after logout.","Bỏ qua các giá trị dưới 60. Lưu ý rằng những thay đổi sẽ được áp dụng sau khi đăng xuất."
"Variable Code must be unique.","Mã biến số phải là duy nhất."
"Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk.","Cảnh báo! Việc kích hoạt tính năng này không được khuyến khích trên các mục sản phẩm vì nó có thể nguy hại đến bảo mật."
"Web","Web"
"Website","Website"
"Website Information","Thông tin website"
"Website Name","Tên website"
"Website code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Mã website chỉ có thể chứa các chữ cái (a-z), số (0-9) hoặc dấu gạch dưới (_), ký tự đầu tiên phải là chữ cái"
"Website with the same code","Website có cùng mã"
"Weekend Days","Ngày cuối tuần"
"Welcome Text","Văn bản chào mừng"
"Wrong file info format","Định dạng thông tin tệp sai"
"Wrong number of arguments for %s","Sai số đối cho %s"
"Wrong old style column type definition: {$definition}.","Định nghĩa sai loại cột: {$definition}."
"Yes","Có"
"You will have to log in after you save your custom admin path.","Bạn sẽ phải đăng nhập sau khi lưu đường dẫn quản trị tùy chỉnh."
"Your design change for the specified store intersects with another one, please specify another date range.","Thay đổi thiết kế của bạn cho cửa hàng trùng với cửa hàng khác, vui lòng xác định phạm vi ngày tháng khác."
"database ""%s""","dữ liệu ""%s"""
